time,MVSI,high_low,VNI_Sma200
2021-09-23,0.6352638957821493,94,123.70274999999992
2021-09-24,0.6218322645286533,80,120.15330000000017
2021-09-27,0.6172997739061223,28,92.17979999999989
2021-09-28,0.6026857864946564,35,104.55719999999997
2021-09-29,0.5730909201265806,41,102.60564999999997
2021-09-30,0.5448257149444685,57,103.61300000000006
2021-10-01,0.5300575830441433,103,94.6848500000001
2021-10-04,0.5280420388782294,93,97.58715000000007
2021-10-05,0.5171827238424461,80,110.87495000000013
2021-10-06,0.5112917286202628,104,117.22964999999999
2021-10-07,0.5124443538184493,84,118.56940000000009
2021-10-08,0.5076210576920595,99,123.47559999999999
2021-10-11,0.5051595921265682,62,142.91625
2021-10-12,0.5044406552135274,59,141.66764999999987
2021-10-13,0.49792939731109803,72,136.86245000000008
2021-10-14,0.4976569286956512,94,134.9147999999998
2021-10-15,0.5018272906216921,155,133.90030000000002
2021-10-18,0.5066938642156307,122,134.86009999999987
2021-10-19,0.501966218248177,102,132.83334999999988
2021-10-20,0.5057356489209842,102,129.47749999999996
2021-10-21,0.5034427632077677,114,118.71929999999998
2021-10-22,0.5117722348699261,197,121.39765000000011
2021-10-25,0.5226953670718388,125,115.86045000000013
2021-10-26,0.5205066002270284,115,120.45275000000015
2021-10-27,0.5305710392863002,171,150.0039999999999
2021-10-28,0.5384148950981513,192,163.13889999999992
2021-10-29,0.5497987831504783,248,167.43640000000005
2021-11-01,0.567820462596186,191,160.27884999999992
2021-11-02,0.5807796985889426,251,171.91194999999993
2021-11-03,0.6009501780518361,92,161.94769999999994
2021-11-04,0.5924190658781554,109,164.14049999999997
2021-11-05,0.5869488099740988,201,170.36554999999998
2021-11-08,0.5938090020221912,182,179.5097999999998
2021-11-09,0.5953433467402766,153,171.58895000000007
2021-11-10,0.5977935945707201,205,173.2813000000001
2021-11-11,0.6120307973689265,218,168.78724999999986
2021-11-12,0.6166872019047045,306,177.95974999999999
2021-11-15,0.6367953903362265,292,179.37924999999996
2021-11-16,0.6437012105912412,174,167.58974999999987
2021-11-17,0.6385465760068632,181,175.32655
2021-11-18,0.6433413631563956,236,167.73984999999993
2021-11-19,0.6612805782975218,191,148.83655
2021-11-22,0.6573606205184291,55,142.4247499999999
2021-11-23,0.6311604799346031,54,157.4480000000001
2021-11-24,0.6089283045777418,84,181.17389999999978
2021-11-25,0.5897831090632288,91,191.54684999999995
2021-11-26,0.5777499126219819,132,182.27269999999976
2021-11-29,0.5627520089339821,81,172.6181999999999
2021-11-30,0.5556296289413418,89,164.48100000000022
2021-12-01,0.5346864820090054,70,169.47845000000007
2021-12-02,0.519132222940874,80,164.56274999999982
2021-12-03,0.5083394921292588,97,124.0320499999998
2021-12-06,0.502356826915562,34,92.79879999999957
2021-12-07,0.47954627583954085,37,124.53385000000003
2021-12-08,0.45289680901555923,40,129.2414000000001
2021-12-09,0.4277538807376489,52,142.8789999999999
2021-12-10,0.4105790252081772,74,136.99649999999997
2021-12-13,0.4094104538678058,57,148.17364999999995
2021-12-14,0.4077161392554753,56,146.4136000000001
2021-12-15,0.40341312311086136,49,144.34325000000013
2021-12-16,0.398750634342399,69,143.91539999999964
2021-12-17,0.4063368630551719,78,145.6273000000001
2021-12-20,0.4075170209567394,64,141.7136999999998
2021-12-21,0.40967211419075555,77,141.66475000000014
2021-12-22,0.4234647422983011,108,139.04899999999998
2021-12-23,0.44120235897755045,72,116.89764999999989
2021-12-24,0.4374192977667746,61,135.42385000000013
2021-12-27,0.4274195904931767,50,145.63930000000005
2021-12-28,0.43667509428516194,77,149.52774999999997
2021-12-29,0.4375601251223226,72,139.43730000000005
2021-12-30,0.43568807144696803,59,138.06525000000033
2021-12-31,0.43426435238960426,69,148.80665
2022-01-04,0.4418615797033338,76,174.37824999999975
